job_title,experience_level,employment_type,work_models,work_year,employee_residence,salary,salary_currency,salary_in_usd,company_location,company_size,job_title_encoded,experience_level_encoded,employment_type_encoded,work_models_encoded,employee_residence_encoded,salary_currency_encoded,company_location_encoded,company_size_encoded
65,2,2,1,2024,84,106500,20,106500,73,1,65,2,2,1,84,20,73,1
73,2,2,1,2024,84,212800,20,212800,73,0,73,2,2,1,84,20,73,0
73,2,2,1,2024,84,111600,20,111600,73,0,73,2,2,1,84,20,73,0
100,3,2,2,2024,84,166700,20,166700,73,1,100,3,2,2,84,20,73,1
100,3,2,2,2024,84,150000,20,150000,73,1,100,3,2,2,84,20,73,1
100,3,2,1,2024,84,220000,20,220000,73,1,100,3,2,1,84,20,73,1
100,3,2,1,2024,84,170000,20,170000,73,1,100,3,2,1,84,20,73,1
100,3,2,2,2024,84,418000,20,418000,73,1,100,3,2,2,84,20,73,1
100,3,2,2,2024,84,141000,20,141000,73,1,100,3,2,2,84,20,73,1
125,3,2,1,2024,84,440000,20,440000,73,1,125,3,2,1,84,20,73,1
125,3,2,1,2024,84,100000,20,100000,73,1,125,3,2,1,84,20,73,1
111,1,2,0,2024,84,260000,20,260000,73,0,111,1,2,0,84,20,73,0
73,1,2,1,2024,84,246100,20,246100,73,1,73,1,2,1,84,20,73,1
73,1,2,1,2024,84,181900,20,181900,73,1,73,1,2,1,84,20,73,1
100,0,2,1,2024,84,91000,20,91000,73,1,100,0,2,1,84,20,73,1
100,0,2,1,2024,84,70000,20,70000,73,1,100,0,2,1,84,20,73,1
25,1,2,1,2024,84,177500,20,177500,73,1,25,1,2,1,84,20,73,1
25,1,2,1,2024,84,117500,20,117500,73,1,25,1,2,1,84,20,73,1
23,0,2,1,2024,84,95000,20,95000,73,1,23,0,2,1,84,20,73,1
23,0,2,1,2024,84,70000,20,70000,73,1,23,0,2,1,84,20,73,1
65,3,2,1,2024,84,258720,20,258720,73,1,65,3,2,1,84,20,73,1
65,3,2,1,2024,84,160000,20,160000,73,1,65,3,2,1,84,20,73,1
19,2,2,1,2024,84,154800,20,154800,73,1,19,2,2,1,84,20,73,1
19,2,2,1,2024,84,76300,20,76300,73,1,19,2,2,1,84,20,73,1
2,2,2,1,2024,84,170200,20,170200,73,1,2,2,2,1,84,20,73,1
2,2,2,1,2024,84,83900,20,83900,73,1,2,2,2,1,84,20,73,1
46,3,2,2,2024,84,205000,20,205000,73,1,46,3,2,2,84,20,73,1
46,3,2,2,2024,84,165000,20,165000,73,1,46,3,2,2,84,20,73,1
73,2,2,1,2024,84,250000,20,250000,73,1,73,2,2,1,84,20,73,1
73,2,2,1,2024,84,131600,20,131600,73,1,73,2,2,1,84,20,73,1
73,3,2,1,2024,84,240000,20,240000,73,1,73,3,2,1,84,20,73,1
73,3,2,1,2024,84,187000,20,187000,73,1,73,3,2,1,84,20,73,1
46,2,2,1,2024,84,134600,20,134600,73,1,46,2,2,1,84,20,73,1
46,2,2,1,2024,84,103000,20,103000,73,1,46,2,2,1,84,20,73,1
100,3,2,1,2024,84,324000,20,324000,73,1,100,3,2,1,84,20,73,1
100,3,2,1,2024,84,159000,20,159000,73,1,100,3,2,1,84,20,73,1
46,3,2,1,2024,84,385000,20,385000,73,1,46,3,2,1,84,20,73,1
46,3,2,1,2024,84,245000,20,245000,73,1,46,3,2,1,84,20,73,1
73,2,2,1,2024,84,385000,20,385000,73,1,73,2,2,1,84,20,73,1
73,2,2,1,2024,84,245000,20,245000,73,1,73,2,2,1,84,20,73,1
46,2,2,1,2024,84,214300,20,214300,73,1,46,2,2,1,84,20,73,1
46,2,2,1,2024,84,108500,20,108500,73,1,46,2,2,1,84,20,73,1
100,3,2,1,2024,84,245700,20,245700,73,1,100,3,2,1,84,20,73,1
100,3,2,1,2024,84,132300,20,132300,73,1,100,3,2,1,84,20,73,1
75,2,2,1,2024,84,80000,20,80000,73,1,75,2,2,1,84,20,73,1
75,2,2,1,2024,84,73000,20,73000,73,1,75,2,2,1,84,20,73,1
100,3,2,2,2024,84,263500,20,263500,73,1,100,3,2,2,84,20,73,1
100,3,2,2,2024,84,189360,20,189360,73,1,100,3,2,2,84,20,73,1
43,3,2,2,2024,84,175000,20,175000,73,1,43,3,2,2,84,20,73,1
43,3,2,2,2024,84,125000,20,125000,73,1,43,3,2,2,84,20,73,1
